resolución,publicado,identificador,resumen,numero,año,norma_que_modifica,normas_que_la_modifican,norma_que_la_deroga,estado,normas_que_deroga
Resolución 164 de 2004 de Ministerio de la Industria Pesquera,Gaceta Oficial No. 54 Ordinaria de 2004,GOC-2004-959-O54,"Establece 74 milímetros de largo del cefalotórax (carapacho), como talla mínima legal para la captura de la especie Panulirus argus (Langosta Común).",164,2004,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 96 de 2004 de Ministerio de la Industria Pesquera,Gaceta Oficial No. 6 Extraordinaria de 2004,GOC-2004-557-EX6,"Prohíbe toda la actividad pesquera durante los 10 días del cuarto creciente a la luna llena de los meses de abril, mayo y junio.",96,2004,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 58 de 2004 de Ministerio de la Industria Pesquera,Gaceta Oficial No. 5 Extraordinaria de 2004,GOC-2004-356-EX5,"Prohíbe la práctica de la pesca comercial con tranques, corrales, redes de sitio o cualquier otro tipo de arte de pesca similar, en las aguas marítimas cubanas en el período que abarca desde el 1ro. de abril del 2004 hasta el 31 de agosto del propio año.",58,2004,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 54 de 2005 de Ministerio de la Industria Pesquera,Gaceta Oficial No. 31 Ordinaria de 2005,GOC-2005-653-O31,Establece Límites en las Zonas de Pesca de todas las Empresas que se dedican a la captura de la langosta.,54,2005,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 334 de 2004 de Ministerio de la Industria Básica,Gaceta Oficial No. 8 Ordinaria de 2005,GOC-2005-160-08,"Prohíbe la práctica de la pesca comercial con tranques, corrales, redes de sitio o cualquier otro tipo de arte de pesca similar, en las aguas marítimas cubanas en el período que abarca desde el 1ero. de enero del 2005 hasta el 31 de diciembre de este mismo año.",334,2004,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 266 de 2004 de Ministerio de la Industria Pesquera,Gaceta Oficial No. 2 Ordinaria de 2005,GOC-2005-40-O2,"Prohibe la colecta, transportación, tenencia y cualquier otra actividad que implique la extracción de ejemplares de la especie, Cassis madagascariensis, comúnmente conocida como quinconte, en cualquiera de las etapas de su ciclo de vida, a nivel nacional.",266,2004,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 130 de 2008 de Ministerio de la Industria Pesquera,Gaceta Oficial No. 42 Ordinaria de 2008,GOC-2008-795-O42,"Prohibe la práctica de la pesca comercial con tranques, corrales, redes de sitio o cualquier tipo de arte de pesca similar, en las aguas marítimas cubanas de manera permanente.",130,2008,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 187 de 2008 de Ministerio de la Industria Pesquera,Gaceta Oficial No. 56 Ordinaria de 2008,GOC-2008-1214-O56,Modifica el Apartado Primero y Segundo de la Resolución No. 96 de 29 de marzo de 2006 sobre las Zonas Bajo Régimen Especial de Uso y Protección y la prohibición de captura de la especie Panulirus Argus.,187,2008,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 128 de 2008 de Ministerio de la Industria Pesquera,Gaceta Oficial No. 35 Ordinaria de 2008,GOC-2008-663-O35,Establece prohibición de toda actividad pesquera en un área definida por determinada fecha.,128,2008,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 9 de 2008 de Ministerio de la Industria Pesquera,Gaceta Oficial No. 8 Extraordinaria de 2008,GOC-2008-114-EX8,"Establece en todo el territorio nacional una veda de carácter permanente para los quelonios marinos denominados tortuga verde (chelonia mydas), caguama (caretta caretta), carey (eretmochelys) y tinglado (dermochelys coriácea).",9,2008,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,"Resolución 83 de 1997 de Ministerio de la Industria Pesquera,"
Resolución 47 de 2021 de Ministerio de la Industria Alimentaria,Gaceta Oficial No. 44 Ordinaria de 2021,GOC-2021-407-O44,Establece la talla mínima de captura para determinadas especies de esponjas de mar.,47,2021,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución  de 2021 de Ministerio de la Industria Alimentaria,No disponible,GOC-2021-407-O44,Establece la talla mínima de captura para determinadas especies de esponjas de mar.,No disponible,2021,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 45 de 2021 de Ministerio de la Industria Alimentaria,Gaceta Oficial No. 44 Ordinaria de 2021,GOC-2021-405-O44,"Establece la prohibición de la pesca dirigida a las especies de loros y barberos en todo el territorio nacional, excepto en la modalidad de pesca de investigación.",45,2021,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 44 de 2021 de Ministerio de la Industria Alimentaria,Gaceta Oficial No. 44 Ordinaria de 2021,GOC-2021-404-O44,Establece la prohibición de la captura de peces en determinados polígonos y los períodos de esta.,44,2021,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 7 de 2020 de Ministerio del Interior,Gaceta Oficial No. 11 Ordinaria de 2020,GOC-2020-119-O11,"Designa las zonas en las que las Tropas Guardafronteras actúan fundamentalmente y establece la obligación del Ministerio del Interior de informar mensualmente al Ministerio de la Industria Alimentaria los datos de los infractores del régimen de pesca, las medidas aplicadas y el nombre de las embarcaciones vinculadas a la violación.",7,2020,No modifica,"

      No existen referencias de normas    
","


 Resolución 10 de 2021 de Ministerio del Interior  

",Derogada,No deroga
Decreto 1 de 2019 de Consejo de Ministros,Gaceta Oficial No. 11 Ordinaria de 2020,GOC-2020-112-O11,"REGLAMENTO DE LA LEY 129 “LEY DE PESCA” Establece las regulaciones y los procedimientos para la administración, conservación y explotación económica sostenible de los recursos hidrobiológicos y en especial de los pesqueros, en las aguas marítimas, fluviales y lacustres de la República de Cuba.",1,2019,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,"Resolución 354 de 2001 de Ministerio de la Industria Pesquera,Resolución 503 de 2012 de Ministerio de la Industria Alimentaria,"
Ley 129 de 2019 de Asamblea Nacional del Poder Popular,Gaceta Oficial No. 11 Ordinaria de 2020,GOC-2020-111-O11,"LEY DE PESCA Establece las regulaciones para el adecuado ordenamiento, administración y control de la pesca, en función de la conservación y el aprovechamiento racional de los recursos hidrobiológicos en las aguas marítimas, fluviales y lacustres de la República de Cuba, con el fin de contribuir a la soberanía alimentaria de la nación.",129,2019,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,"Decreto Ley 164 de 1996 de Consejo de Estado,"
Resolución 133 de 2017 de Ministerio de la Industria Alimentaria,Gaceta Oficial No. 36 Ordinaria de 2017,No disponible,"Prohíbe la pesca con redes en la Bahía de Nazabal a todas las embarcaciones, exceptuando aquellas pertenencientes a la Empresa Pesquera Industrial de Caibarién, en forma abreviada EPICAI, que se autoricen mediante la presente.",133,2017,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 73 de 2015 de Ministerio de la Industria Alimentaria,Gaceta Oficial No. 24 Ordinaria de 2015,No disponible,Prohibe la actividad pesquera de la especie biajaiba en determinadas zonas y durante el período del 26 de abril al 6 d mayo y entre el 25 de mayo y el 4 de junio.,73,2015,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 183 de 2008 de Ministerio de la Industria Pesquera,Gaceta Oficial No. 53 Ordinaria de 2008,GOC-2008-1124-O53,Declara como Zona Bajo Régimen Especial de Uso y Protección las áreas marinas del Refugio de Fauna Las Loras.,183,2008,No modifica,"

      No existen referencias de normas    
","


 Resolución 309 de 2009 de Ministerio de la Industria Alimenticia  

",Derogada,No deroga
Resolución 345 de 2001 de Ministerio de la Industria Pesquera,Gaceta Oficial No. 7 Ordinaria de 2002,GOC-2002-90-O7,"Prohibe totalmente la celebración de cualquier tipo de evento competitivo relacionado con la pesca submarina, en todo el territorio nacional.",345,2001,No modifica,"

      No existen referencias de normas    
","


 Resolución 259 de 2011 de Ministerio de la Industria Alimentaria  

",Derogada,No deroga
Resolución 479 de 2009 de Ministerio de la Industria Alimentaria,Gaceta Oficial No. 3 Extraordinaria de 2010,No disponible,"Concluye el periodo de veda establecido para la especie comúnmente denominada camarón rosado Farfantepenaeus notialis, y establece otras cuestiones a tener en cuenta por empresas autorizadas en cuanto a la pesca y las prohibiciones a esta.",479,2009,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,"Resolución 99 de 2009 de Ministerio de la Industria Alimenticia,"
